"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.343790587E0,-4.377609789E-1,-3.149771392E-1,-3.252091408E-1
3.360456524E0,-6.727148294E-1,-6.047561392E-2,-3.130682111E-1
3.377122462E0,-7.827468514E-1,1.439350098E-1,-2.381609082E-1
3.393788399E0,-7.174606919E-1,8.170315996E-3,-1.732565165E-1
3.410454337E0,-5.556578636E-1,-3.378082216E-1,-1.834121495E-1
3.427120274E0,-4.151589870E-1,-2.622137070E-1,-4.627300799E-2
3.443786212E0,-3.161225319E-1,-1.970038936E-2,6.330086291E-2
3.460452149E0,-2.686277926E-1,2.605338395E-1,1.563050300E-1
3.477118087E0,-2.662606835E-1,5.591703653E-1,2.819904685E-1
3.493784024E0,-1.886045039E-1,8.281798959E-1,4.024071693E-1
3.510449962E0,-5.421424750E-3,7.839685678E-1,4.221075773E-1
3.527115899E0,1.937968582E-1,3.420842886E-1,3.504073024E-1
3.543781837E0,3.591884971E-1,-1.627191007E-1,2.869537175E-1
3.560447774E0,4.765508771E-1,-5.413025618E-1,1.662315726E-1
3.577113712E0,5.681042671E-1,-8.381828070E-1,1.527161896E-1
3.593779649E0,6.401863098E-1,-9.551634192E-1,2.764926851E-1
3.610445587E0,5.624537468E-1,-8.782708645E-1,1.954767257E-1
3.627111524E0,3.570504785E-1,-6.652317643E-1,-4.650207981E-2
3.643777462E0,1.569158882E-1,-4.983129501E-1,-6.513345987E-2
3.660443399E0,4.886918236E-3,-5.030471683E-1,7.299833745E-2
3.677109337E0,-7.941242307E-3,-4.613556266E-1,2.039524764E-1
3.693775274E0,-1.450803876E-2,-1.241582632E-1,4.334849119E-1
3.710441212E0,-4.965566993E-1,8.850666881E-1,6.872992516E-1
3.727107149E0,-7.799979448E-1,1.505552649E0,7.136427760E-1
3.743773087E0,-8.416189551E-1,1.327256441E0,4.030944109E-1
3.760439024E0,-6.631700993E-1,1.173242211E0,-5.138900131E-2
3.777104962E0,-2.112064958E-1,8.464295268E-1,-1.099556610E-1
3.793770899E0,1.811977625E-1,3.608683646E-1,-2.034179717E-1
3.810436837E0,1.734855920E-1,7.116574794E-2,-2.091448307E-1
3.827102774E0,-2.390008420E-2,2.391535640E-1,-1.366809905E-1
3.843768712E0,-1.906661689E-1,4.269181192E-1,-8.040507883E-2
3.860434649E0,-3.049742281E-1,3.559814394E-1,-1.397353113E-1
3.877100587E0,-3.233765364E-1,1.747073233E-1,-2.011272311E-1
3.893766524E0,-2.597702444E-1,2.459494323E-1,-1.532506943E-1
3.910432462E0,-2.070067972E-1,2.523635030E-1,-8.613193035E-2
3.927098399E0,-1.974620372E-1,1.389717311E-1,-4.184423760E-2
3.943764337E0,-1.803578287E-1,-1.173623949E-1,-8.200860023E-2
3.960430274E0,-1.859319657E-1,-2.803869247E-1,-1.918115467E-1
3.977096212E0,-2.063195854E-1,-3.445277214E-1,-2.809978127E-1
3.993762149E0,-1.894444376E-1,-4.108065665E-1,-2.845866382E-1
4.010428087E0,-1.267544478E-1,-3.691914082E-1,-2.255618125E-1
4.027094024E0,-3.550651670E-2,-4.296670258E-1,-2.059377879E-1
4.043759962E0,1.664606482E-2,-4.653262496E-1,-2.475529462E-1
4.060425899E0,1.069013379E-3,-3.917934000E-1,-3.075704277E-1
4.077091837E0,-8.712458611E-2,-3.459785283E-1,-3.352120519E-1
4.093757774E0,-1.655443609E-1,-3.039052188E-1,-2.761872411E-1
4.110423712E0,-1.800523996E-1,-2.225074917E-1,-1.543197185E-1
4.127089649E0,-1.174387559E-1,-1.058323234E-1,-6.009382382E-2
4.143755587E0,-1.809686981E-2,-1.177441850E-1,-9.285144508E-2
4.160421524E0,5.131264031E-2,-3.575849831E-1,-2.105956376E-1
4.177087462E0,1.057559624E-1,-5.916988850E-1,-3.426951468E-1
4.193753399E0,1.076649204E-1,-7.547997832E-1,-4.050796926E-1
4.210419337E0,-4.024071619E-2,-5.710822344E-1,-3.446804583E-1
4.227085274E0,-4.375318885E-1,6.123919412E-2,-4.512763396E-2
4.243751212E0,-5.244274139E-1,2.565632164E-1,5.940660089E-2
4.260417149E0,-5.428296924E-1,2.689332068E-1,-1.629481763E-1
4.277083087E0,-5.054906011E-1,4.497491941E-2,-2.264017612E-1
4.293749024E0,-2.748127878E-1,-5.278635025E-1,-1.514181048E-1
4.310414962E0,-1.149189398E-1,-8.711695075E-1,-3.275762498E-2
4.327080899E0,-1.502727419E-1,-7.813724279E-1,-1.756236190E-3
4.343746837E0,-2.764926851E-1,-4.401280880E-1,-5.490147322E-2
