"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.623553125E0,-2.299502611E0,9.188439369E0,8.483453751E0
3.640219063E0,-2.197807550E0,9.472886086E0,8.772686005E0
3.656885000E0,-1.640878081E0,9.629615784E0,8.468797684E0
3.673550938E0,-9.056833982E-1,9.461220741E0,8.772088051E0
3.690216875E0,-3.457628787E-1,8.452047348E0,1.036510944E1
3.706882813E0,-1.782652885E-1,7.406085014E0,1.226172066E1
3.723548750E0,1.480558962E-1,6.486942291E0,1.244357491E1
3.740214688E0,-2.718844712E-1,6.413661957E0,1.053350449E1
3.756880625E0,-1.255633712E0,7.007380962E0,7.652545929E0
3.773546563E0,-1.893919110E0,7.418946743E0,5.600700378E0
3.790212500E0,-1.775175333E0,7.585247993E0,5.135296345E0
3.806878438E0,-1.374078393E0,7.446165085E0,6.081358910E0
3.823544375E0,-5.829514265E-1,6.862017155E0,7.348657608E0
3.840210313E0,3.526422381E-1,6.591628075E0,8.084749222E0
3.856876250E0,1.358525038E0,6.385546207E0,8.182855606E0
3.873542188E0,2.201396942E0,6.277271271E0,7.874480247E0
3.890208125E0,2.414956331E0,6.031109333E0,6.681957245E0
3.906874063E0,2.131406784E0,5.907280922E0,5.336592674E0
3.923540000E0,1.524227977E0,5.968596935E0,4.468297005E0
3.940205938E0,1.050150037E0,5.894718647E0,4.505684853E0
3.956871875E0,4.136592150E-1,5.787939072E0,5.180460930E0
3.973537813E0,8.533403873E-1,5.465805054E0,5.635097504E0
3.990203750E0,1.324427366E0,5.479563713E0,5.635097504E0
4.006869688E0,1.522433400E0,5.584249973E0,5.234299660E0
4.023535625E0,1.329811215E0,5.841179371E0,5.203492165E0
4.040201563E0,1.087537885E0,6.003890991E0,5.676074505E0
4.056867500E0,9.873384237E-1,6.175576210E0,6.362515450E0
4.073533438E0,1.146162033E0,6.342176437E0,6.634100914E0
4.090199375E0,1.573580027E0,6.458527565E0,7.242774963E0
4.106865313E0,1.700100541E0,6.567101955E0,7.928318501E0
4.123531250E0,1.709372640E0,6.595815659E0,7.979764462E0
4.140197188E0,1.770688772E0,6.681059837E0,7.658527851E0
4.156863125E0,1.527518153E0,6.987341404E0,7.372585773E0
4.173529063E0,1.368993640E0,7.290631294E0,6.959524632E0
4.190195000E0,1.022931695E0,7.558627605E0,6.470790863E0
4.206860938E0,1.016949654E0,8.147561073E0,6.416653156E0
4.223526875E0,1.715653777E0,8.009076118E0,6.730412006E0
4.240192813E0,2.671885490E0,7.521538734E0,7.608278751E0
4.256858750E0,3.415455103E0,6.976872444E0,9.300901413E0
4.273524688E0,3.862015724E0,6.399903297E0,1.063131142E1
4.290190625E0,3.754039526E0,5.911767483E0,1.031635571E1
4.306856563E0,3.163012505E0,5.573781013E0,8.318946838E0
4.323522500E0,3.196810961E0,5.644369602E0,5.982655048E0
4.340188438E0,3.224627733E0,5.624927998E0,3.717848301E0
4.356854375E0,3.026621580E0,5.504090309E0,2.283650160E0
4.373520313E0,2.196012974E0,5.010869503E0,1.274477124E0
4.390186250E0,9.637092948E-1,4.388436794E0,9.924231768E-1
4.406852188E0,9.397810698E-1,4.868496895E0,2.723331213E0
4.423518125E0,1.026820064E0,5.545366287E0,4.998008251E0
4.440184063E0,8.437690735E-1,5.934798241E0,6.580860615E0
4.456850000E0,3.589234054E-1,6.099604130E0,7.035795689E0
4.473515938E0,7.597211748E-2,6.201299191E0,7.706085205E0
4.490181875E0,9.263214469E-1,6.417251110E0,8.654241562E0
4.506847813E0,2.266601324E0,6.800402164E0,8.495118141E0
4.523513750E0,2.340479612E0,7.133004189E0,6.908378124E0
4.540179688E0,2.247159481E0,7.286144733E0,5.967699528E0
4.556845625E0,2.408375978E0,7.228717327E0,6.153143406E0
4.573511563E0,2.356332064E0,7.103094101E0,6.189334869E0
4.590177500E0,2.576471806E0,7.202695370E0,6.402595043E0
4.606843438E0,3.367000580E0,7.097112179E0,6.658328056E0
4.623509375E0,3.715754509E0,6.834798813E0,6.369993210E0
4.640175313E0,3.147459030E0,6.714858532E0,5.382056236E0
4.656841250E0,2.237887383E0,6.815955162E0,4.100101471E0
4.673507188E0,1.716252089E0,7.059125900E0,3.055036306E0
4.690173125E0,1.234995604E0,7.295716286E0,2.281556368E0
4.706839063E0,3.517449200E-1,7.036693096E0,1.891825438E0
4.723505000E0,3.927220106E-1,6.530611038E0,2.225325108E0
4.740170938E0,2.054238319E0,6.154040813E0,2.946461916E0
4.756836875E0,3.084049225E0,6.507580280E0,3.646063566E0
4.773502813E0,2.537289381E0,6.740282059E0,2.677867651E0
4.790168750E0,1.006780148E0,6.821040154E0,3.757030725E0
4.806834688E0,-5.147559643E-1,7.088139057E0,6.836593628E0
4.823500625E0,-6.672984362E-1,7.653742313E0,8.793622971E0
